council,Year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)",Internal arrivals (no.),Internal departures (no.),Net internal migration (no.),Overseas arrivals (no.),Overseas departures (no.),Net overseas migration (no.),Aboriginal and Torres Strait Islander Peoples (no.),Aboriginal and Torres Strait Islander Peoples (%),Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (no.),Total born overseas (%),Buddhism (%),Christianity (%),Hinduism (%),Islam (%),Judaism (%),Other religions (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Religious affiliation inadequately described or not stated (%),Australian citizen (no.),Not an Australian citizen (no.),Australian citizenship not stated (no.),Australian citizen (%),Not an Australian citizen (%),Australian citizenship not stated (%),Speaks a language other than English at home (no.),Speaks a language other than English at home (%),Currently serving in the Australian Defence Force (no.),Previously served in the Australian Defence Force (no.),Currently serving in the Australian Defence Force (%),Previously served in the Australian Defence Force (%),
Stonnington City Council,2021,"106,190","4,139.8","50,938","55,252",36.1,37.3,36.7,"76,172",71.7,"2,070","2,021","2,185","2,274","3,885","6,212","5,717","4,429","3,168","2,961","3,168","2,719","2,422","2,026","1,962","1,545","1,138","1,036",4.1,4.0,4.3,4.5,7.6,12.2,11.2,8.7,6.2,5.8,6.2,5.3,4.8,4.0,3.9,3.0,2.2,2.0,"1,989","1,933","2,145","2,471","4,635","6,733","5,667","4,297","3,235","3,259","3,333","2,912","2,675","2,533","2,446","1,845","1,445","1,699",3.6,3.5,3.9,4.5,8.4,12.2,10.3,7.8,5.9,5.9,6.0,5.3,4.8,4.6,4.4,3.3,2.6,3.1,"4,059","3,954","4,330","4,745","8,520","12,945","11,384","8,726","6,403","6,220","6,501","5,631","5,097","4,559","4,408","3,390","2,583","2,735",3.8,3.7,4.1,4.5,8.0,12.2,10.7,8.2,6.0,5.9,6.1,5.3,4.8,4.3,4.2,3.2,2.4,2.6,998,0.97,651,4.4,"11,471","13,139","-1,668",877,"3,710","-2,833",363,0.3,2.3,6.5,4.3,1.2,4.1,5.3,3.5,2.6,1.4,"32,835",31.4,2.2,37.9,2.4,1.2,4.3,0.5,45.0,6.6,"84,799","15,221","4,679",81.0,14.5,4.5,"23,205",22.2,113,"1,207",0.1,1.3,
Strathbogie Shire Council,2021,"11,368",3.4,"5,664","5,704",53.2,53.4,53.3,"6,234",54.8,281,258,317,265,248,192,251,264,256,288,351,427,507,552,517,297,226,167,5.0,4.6,5.6,4.7,4.4,3.4,4.4,4.7,4.5,5.1,6.2,7.5,9.0,9.7,9.1,5.2,4.0,2.9,257,248,276,251,167,242,243,282,314,316,368,437,565,514,457,322,188,257,4.5,4.3,4.8,4.4,2.9,4.2,4.3,4.9,5.5,5.5,6.5,7.7,9.9,9.0,8.0,5.6,3.3,4.5,538,506,593,516,415,434,494,546,570,604,719,864,"1,072","1,066",974,619,414,424,4.7,4.5,5.2,4.5,3.7,3.8,4.3,4.8,5.0,5.3,6.3,7.6,9.4,9.4,8.6,5.4,3.6,3.7,115,1.97,137,5.2,931,713,218,10,19,-9,207,1.8,1.1,4.6,1.0,0.1,1.2,0.5,0.5,0.5,0.3,"1,119",9.8,0.9,46.2,0.3,0.3,0.1,0.3,40.7,11.2,"10,110",425,919,88.3,3.7,8.0,419,3.7,26,365,0.3,3.7,
Surf Coast Shire Council,2021,"37,648",24.2,"18,678","18,970",41.7,42.8,42.3,"22,863",60.7,"1,185","1,372","1,371","1,075",859,812,"1,003","1,247","1,320","1,341","1,174","1,170","1,211","1,182","1,082",637,364,273,6.3,7.3,7.3,5.8,4.6,4.3,5.4,6.7,7.1,7.2,6.3,6.3,6.5,6.3,5.8,3.4,1.9,1.5,"1,156","1,224","1,213","1,026",726,817,"1,118","1,418","1,389","1,352","1,272","1,237","1,296","1,214","1,048",643,387,434,6.1,6.5,6.4,5.4,3.8,4.3,5.9,7.5,7.3,7.1,6.7,6.5,6.8,6.4,5.5,3.4,2.0,2.3,"2,341","2,596","2,584","2,101","1,585","1,629","2,121","2,665","2,709","2,693","2,446","2,407","2,507","2,396","2,130","1,280",751,707,6.2,6.9,6.9,5.6,4.2,4.3,5.6,7.1,7.2,7.2,6.5,6.4,6.7,6.4,5.7,3.4,2.0,1.9,450,1.79,199,4.4,"3,567","2,203","1,364",43,111,-68,239,0.6,1.4,6.0,1.1,0.2,0.6,0.4,0.3,1.1,0.7,"4,431",11.8,0.6,38.1,0.2,0.2,0.1,0.3,53.6,7.0,"34,221","1,655","1,817",90.8,4.4,4.8,"1,562",4.1,36,660,0.1,2.2,
Swan Hill Rural City Council,2021,"158,689",152.1,"79,405","79,284",34.4,35.4,34.9,"105,990",66.8,"6,186","6,170","5,726","5,262","5,191","5,618","6,293","6,600","5,296","5,072","5,041","4,612","3,843","3,014","2,320","1,488",963,710,7.8,7.8,7.2,6.6,6.5,7.1,7.9,8.3,6.7,6.4,6.3,5.8,4.8,3.8,2.9,1.9,1.2,0.9,"5,696","5,723","5,340","4,719","4,931","5,890","6,783","6,323","5,461","5,222","5,099","4,672","4,062","3,060","2,528","1,630","1,121","1,024",7.2,7.2,6.7,6.0,6.2,7.4,8.6,8.0,6.9,6.6,6.4,5.9,5.1,3.9,3.2,2.1,1.4,1.3,"11,882","11,893","11,066","9,981","10,122","11,508","13,076","12,923","10,757","10,294","10,140","9,284","7,905","6,074","4,848","3,118","2,084","1,734",7.5,7.5,7.0,6.3,6.4,7.3,8.2,8.1,6.8,6.5,6.4,5.9,5.0,3.8,3.1,2.0,1.3,1.1,"2,382",1.92,679,5.0,"12,070","9,723","2,347",479,631,-152,"5,302",3.5,3.8,8.1,2.2,1.5,6.9,0.9,5.3,0.8,3.9,"51,263",33.5,2.4,41.3,3.1,4.0,0.1,2.2,40.2,6.7,"128,802","17,015","7,156",84.2,11.1,4.7,"35,555",23.2,313,"2,725",0.3,2.3,
Towong Shire Council,2021,"6,186",0.9,"3,165","3,021",51.7,51.8,51.8,"3,470",56.1,153,177,184,158,102,124,132,154,146,181,202,269,300,285,245,162,109,82,4.8,5.6,5.8,5.0,3.2,3.9,4.2,4.9,4.6,5.7,6.4,8.5,9.5,9.0,7.7,5.1,3.4,2.6,136,148,189,128,102,122,117,169,154,160,220,259,271,251,223,151,90,131,4.5,4.9,6.3,4.2,3.4,4.0,3.9,5.6,5.1,5.3,7.3,8.6,9.0,8.3,7.4,5.0,3.0,4.3,289,325,373,286,204,246,249,323,300,341,422,528,571,536,468,313,199,213,4.7,5.3,6.0,4.6,3.3,4.0,4.0,5.2,4.8,5.5,6.8,8.5,9.2,8.7,7.6,5.1,3.2,3.4,55,1.87,67,5.8,482,495,-13,2,4,-2,112,1.8,1.2,4.3,0.7,0.1,0.8,0.2,0.4,0.5,0.3,526,8.5,0.4,48.6,0.2,0.3,-,0.5,39.1,10.9,"5,533",173,518,88.9,2.8,8.3,175,2.8,11,216,0.2,4.1,
Wangaratta Rural City Council,2021,"29,751",8.2,"14,436","15,315",44.4,46.1,45.3,"17,453",58.7,755,886,"1,023",907,635,745,767,825,768,882,942,985,983,978,909,628,455,363,5.2,6.1,7.1,6.3,4.4,5.2,5.3,5.7,5.3,6.1,6.5,6.8,6.8,6.8,6.3,4.4,3.2,2.5,808,843,953,870,672,791,795,803,919,968,"1,049","1,027","1,120",974,921,731,507,564,5.3,5.5,6.2,5.7,4.4,5.2,5.2,5.2,6.0,6.3,6.8,6.7,7.3,6.4,6.0,4.8,3.3,3.7,"1,563","1,729","1,976","1,777","1,307","1,536","1,562","1,628","1,687","1,850","1,991","2,012","2,103","1,952","1,830","1,359",962,927,5.3,5.8,6.6,6.0,4.4,5.2,5.3,5.5,5.7,6.2,6.7,6.8,7.1,6.6,6.2,4.6,3.2,3.1,300,1.85,260,5.2,"1,667","1,475",192,21,36,-15,559,1.9,0.8,3.3,1.4,0.1,1.3,0.3,1.0,0.4,0.4,"2,693",9.0,0.8,48.3,0.6,0.2,-,0.4,42.0,7.4,"27,070","1,174","1,556",90.8,3.9,5.2,"1,551",5.2,28,734,0.1,3.0,
Warrnambool City Council,2021,"35,433",293.0,"17,125","18,308",39.6,43.6,41.7,"21,810",61.6,993,"1,104","1,198","1,070",934,"1,186","1,116","1,042","1,004","1,028","1,062","1,048","1,060","1,011",867,640,386,376,5.8,6.4,7.0,6.2,5.5,6.9,6.5,6.1,5.9,6.0,6.2,6.1,6.2,5.9,5.1,3.7,2.3,2.2,888,"1,006","1,107","1,048",936,"1,159","1,130","1,082","1,105","1,124","1,208","1,218","1,250","1,102","1,010",733,540,662,4.9,5.5,6.0,5.7,5.1,6.3,6.2,5.9,6.0,6.1,6.6,6.7,6.8,6.0,5.5,4.0,2.9,3.6,"1,881","2,110","2,305","2,118","1,870","2,345","2,246","2,124","2,109","2,152","2,270","2,266","2,310","2,113","1,877","1,373",926,"1,038",5.3,6.0,6.5,6.0,5.3,6.6,6.3,6.0,6.0,6.1,6.4,6.4,6.5,6.0,5.3,3.9,2.6,2.9,357,1.61,316,5.6,"2,115","2,047",68,72,125,-53,699,2.0,1.3,3.0,0.4,0.2,1.7,1.0,1.0,0.4,0.5,"3,382",9.6,0.9,47.3,0.5,0.3,0.1,0.3,43.6,7.0,"31,691","1,902","1,821",89.5,5.4,5.1,"1,900",5.4,32,672,0.1,2.3,
Wellington Shire Council,2021,"45,469",4.2,"23,018","22,451",43.0,45.8,44.4,"27,363",60.2,"1,242","1,363","1,426","1,284","1,214","1,441","1,380","1,389","1,268","1,283","1,390","1,581","1,704","1,652","1,546",889,563,403,5.4,5.9,6.2,5.6,5.3,6.3,6.0,6.0,5.5,5.6,6.0,6.9,7.4,7.2,6.7,3.9,2.4,1.8,"1,182","1,264","1,356","1,212","1,004","1,206","1,253","1,353","1,195","1,341","1,523","1,566","1,776","1,646","1,412",930,632,600,5.3,5.6,6.0,5.4,4.5,5.4,5.6,6.0,5.3,6.0,6.8,7.0,7.9,7.3,6.3,4.1,2.8,2.7,"2,424","2,627","2,782","2,496","2,218","2,647","2,633","2,742","2,463","2,624","2,913","3,147","3,480","3,298","2,958","1,819","1,195","1,003",5.3,5.8,6.1,5.5,4.9,5.8,5.8,6.0,5.4,5.8,6.4,6.9,7.7,7.3,6.5,4.0,2.6,2.2,459,1.89,432,6.1,"3,408","3,055",353,46,80,-34,923,2.0,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,"5,034",11.0,0.6,41.9,0.4,0.3,-,0.5,45.8,10.5,"39,931","1,936","3,773",87.5,4.2,8.3,"1,801",3.9,661,"1,385",1.7,3.7,
West Wimmera Shire Council,2021,"3,978",0.4,"2,003","1,975",50.6,50.9,50.8,"2,238",56.3,105,107,120,77,90,101,88,100,95,101,139,165,188,167,157,86,67,50,5.2,5.3,6.0,3.8,4.5,5.0,4.4,5.0,4.7,5.0,6.9,8.2,9.4,8.3,7.8,4.3,3.3,2.5,131,96,121,80,51,92,93,106,87,103,154,165,163,145,128,87,76,97,6.6,4.9,6.1,4.1,2.6,4.7,4.7,5.4,4.4,5.2,7.8,8.4,8.3,7.3,6.5,4.4,3.8,4.9,236,203,241,157,141,193,181,206,182,204,293,330,351,312,285,173,143,147,5.9,5.1,6.1,3.9,3.5,4.9,4.6,5.2,4.6,5.1,7.4,8.3,8.8,7.8,7.2,4.3,3.6,3.7,42,2.65,36,4.9,226,291,-65,2,2,-,46,1.1,1.0,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,269,6.7,0.1,50.5,0.3,0.5,-,0.2,37.7,10.8,"3,571",124,303,89.1,3.1,7.6,96,2.4,3,93,0.1,2.8,
Whitehorse City Council,2021,"171,077","2,661.4","83,209","87,868",37.6,40.9,39.2,"112,512",65.8,"4,158","4,928","4,961","5,196","6,922","6,463","5,907","6,105","5,345","5,541","5,335","4,693","4,237","3,625","3,235","2,492","1,992","2,074",5.0,5.9,6.0,6.2,8.3,7.8,7.1,7.3,6.4,6.7,6.4,5.6,5.1,4.4,3.9,3.0,2.4,2.5,"3,888","4,711","4,968","4,998","6,128","5,772","6,087","6,281","5,852","5,998","5,844","5,066","4,742","4,296","3,934","3,212","2,752","3,339",4.4,5.4,5.7,5.7,7.0,6.6,6.9,7.1,6.7,6.8,6.7,5.8,5.4,4.9,4.5,3.7,3.1,3.8,"8,046","9,639","9,929","10,194","13,050","12,235","11,994","12,386","11,197","11,539","11,179","9,759","8,979","7,921","7,169","5,704","4,744","5,413",4.7,5.6,5.8,6.0,7.6,7.2,7.0,7.2,6.5,6.7,6.5,5.7,5.2,4.6,4.2,3.3,2.8,3.2,"1,381",1.19,"1,202",4.3,"12,350","14,690","-2,340","1,194","3,798","-2,604",523,0.3,1.3,3.6,3.0,1.4,7.8,16.2,6.3,1.0,1.0,"70,212",41.5,5.4,38.6,3.8,1.6,0.2,1.1,43.9,5.4,"130,146","33,706","5,494",76.9,19.9,3.2,"68,588",40.5,152,"2,102",0.1,1.5,
Whittlesea City Council,2021,"231,831",473.4,"115,559","116,272",34.5,35.9,35.3,"153,061",66.0,"8,807","9,032","7,827","6,879","7,861","8,584","9,747","10,382","8,493","7,300","6,552","5,741","5,017","4,191","3,698","2,519","1,638","1,291",7.6,7.8,6.8,6.0,6.8,7.4,8.4,9.0,7.3,6.3,5.7,5.0,4.3,3.6,3.2,2.2,1.4,1.1,"8,163","8,555","7,352","6,410","6,998","8,338","10,259","10,328","8,278","7,325","6,715","6,157","5,697","4,869","4,158","2,718","1,985","1,967",7.0,7.4,6.3,5.5,6.0,7.2,8.8,8.9,7.1,6.3,5.8,5.3,4.9,4.2,3.6,2.3,1.7,1.7,"16,970","17,587","15,179","13,289","14,859","16,922","20,006","20,710","16,771","14,625","13,267","11,898","10,714","9,060","7,856","5,237","3,623","3,258",7.3,7.6,6.5,5.7,6.4,7.3,8.6,8.9,7.2,6.3,5.7,5.1,4.6,3.9,3.4,2.3,1.6,1.4,"3,162",1.70,"1,115",5.3,"14,005","13,131",874,767,"1,963","-1,196","2,270",1.0,1.8,2.0,8.8,5.3,4.7,2.2,10.9,0.7,1.4,"86,232",37.6,3.3,47.2,6.2,9.0,-,4.0,24.3,5.8,"189,045","31,568","8,780",82.4,13.8,3.8,"103,445",45.1,293,"1,808",0.2,1.0,
Wodonga City Council,2021,"43,207",99.8,"21,158","22,049",36.1,38.7,37.5,"26,918",62.3,"1,329","1,530","1,552","1,504","1,391","1,427","1,523","1,337","1,252","1,256","1,249","1,256","1,108","1,112",989,614,395,334,6.3,7.2,7.3,7.1,6.6,6.7,7.2,6.3,5.9,5.9,5.9,5.9,5.2,5.3,4.7,2.9,1.9,1.6,"1,425","1,484","1,495","1,315","1,224","1,419","1,537","1,515","1,334","1,326","1,332","1,322","1,291","1,244","1,038",722,524,502,6.5,6.7,6.8,6.0,5.6,6.4,7.0,6.9,6.1,6.0,6.0,6.0,5.9,5.6,4.7,3.3,2.4,2.3,"2,754","3,014","3,047","2,819","2,615","2,846","3,060","2,852","2,586","2,582","2,581","2,578","2,399","2,356","2,027","1,336",919,836,6.4,7.0,7.1,6.5,6.1,6.6,7.1,6.6,6.0,6.0,6.0,6.0,5.6,5.5,4.7,3.1,2.1,1.9,559,1.89,316,6.0,"3,770","3,378",392,47,82,-35,"1,479",3.4,1.1,3.7,1.0,0.3,1.6,0.3,1.7,0.4,1.3,"4,904",11.3,0.8,46.0,1.2,0.4,0.1,0.7,44.5,6.5,"39,320","1,972","1,956",90.9,4.6,4.5,"2,989",6.9,"1,123","1,595",3.2,4.6,
Wyndham City Council,2021,"296,322",546.6,"150,270","146,052",32.3,32.9,32.6,"198,742",67.1,"13,863","13,958","11,088","8,439","10,195","11,711","13,818","17,178","12,817","8,992","7,162","5,942","4,825","3,878","2,992","1,773","1,012",627,9.2,9.3,7.4,5.6,6.8,7.8,9.2,11.4,8.5,6.0,4.8,4.0,3.2,2.6,2.0,1.2,0.7,0.4,"13,021","13,254","10,429","7,765","8,446","11,275","15,781","16,429","11,134","8,424","6,966","6,089","5,354","4,172","3,226","1,929","1,218","1,140",8.9,9.1,7.1,5.3,5.8,7.7,10.8,11.2,7.6,5.8,4.8,4.2,3.7,2.9,2.2,1.3,0.8,0.8,"26,884","27,212","21,517","16,204","18,641","22,986","29,599","33,607","23,951","17,416","14,128","12,031","10,179","8,050","6,218","3,702","2,230","1,767",9.1,9.2,7.3,5.5,6.3,7.8,10.0,11.3,8.1,5.9,4.8,4.1,3.4,2.7,2.1,1.2,0.8,0.6,"4,823",1.88,911,5.6,"20,924","16,205","4,719","1,205","3,109","-1,904","2,511",0.9,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,"139,921",47.9,2.8,35.6,14.5,9.9,-,6.6,23.4,7.2,"207,715","68,829","15,467",71.1,23.6,5.3,"145,394",49.8,468,"2,681",0.2,1.2,
Yarra City Council,2021,"91,521","4,683.3","44,940","46,581",34.8,34.1,34.5,"71,241",77.8,"1,869","1,566","1,401","1,198","3,146","6,721","6,778","4,657","3,328","2,694","2,503","2,368","1,937","1,518","1,355",877,540,484,4.2,3.5,3.1,2.7,7.0,15.0,15.1,10.4,7.4,6.0,5.6,5.3,4.3,3.4,3.0,2.0,1.2,1.1,"1,871","1,567","1,459","1,452","3,819","7,555","6,518","4,242","3,060","2,574","2,514","2,129","2,048","1,727","1,541","1,039",699,767,4.0,3.4,3.1,3.1,8.2,16.2,14.0,9.1,6.6,5.5,5.4,4.6,4.4,3.7,3.3,2.2,1.5,1.6,"3,740","3,133","2,860","2,650","6,965","14,276","13,296","8,899","6,388","5,268","5,017","4,497","3,985","3,245","2,896","1,916","1,239","1,251",4.1,3.4,3.1,2.9,7.6,15.6,14.5,9.7,7.0,5.8,5.5,4.9,4.4,3.5,3.2,2.1,1.4,1.4,964,0.98,384,5.0,"11,369","13,613","-2,244",680,"2,393","-1,713",513,0.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,"25,774",28.6,3.4,25.9,0.8,2.4,0.7,0.4,59.6,6.8,"74,517","11,200","4,398",82.7,12.4,4.9,"18,021",20.0,113,754,0.1,0.9,
Yarra Ranges Shire Council,2021,"157,421",63.8,"78,226","79,195",39.1,41.1,40.1,"100,647",63.9,"4,992","5,143","5,291","4,996","4,649","4,589","5,265","5,174","4,835","5,322","5,316","5,050","4,848","4,029","3,631","2,593","1,443","1,060",6.4,6.6,6.8,6.4,5.9,5.9,6.7,6.6,6.2,6.8,6.8,6.5,6.2,5.2,4.6,3.3,1.8,1.4,"4,581","4,805","4,873","4,579","4,241","4,519","5,329","5,478","5,055","5,455","5,525","5,350","5,072","4,469","4,030","2,656","1,645","1,533",5.8,6.1,6.2,5.8,5.4,5.7,6.7,6.9,6.4,6.9,7.0,6.8,6.4,5.6,5.1,3.4,2.1,1.9,"9,573","9,948","10,164","9,575","8,890","9,108","10,594","10,652","9,890","10,777","10,841","10,400","9,920","8,498","7,661","5,249","3,088","2,593",6.1,6.3,6.5,6.1,5.6,5.8,6.7,6.8,6.3,6.8,6.9,6.6,6.3,5.4,4.9,3.3,2.0,1.6,"1,896",1.79,931,4.9,"9,034","10,690","-1,656",159,409,-250,"1,713",1.1,1.3,7.9,1.5,0.4,2.1,0.9,1.1,0.8,0.8,"26,240",16.8,1.0,37.8,0.5,0.3,0.1,0.6,53.9,5.8,"141,486","9,248","5,331",90.7,5.9,3.4,"12,438",8.0,141,"2,768",0.1,2.2,
Yarriambiack Shire Council,2021,"6,510",0.9,"3,318","3,192",50.9,52.5,51.9,"3,627",55.7,164,178,221,182,145,150,156,148,128,154,197,266,319,265,236,174,106,129,4.9,5.4,6.7,5.5,4.4,4.5,4.7,4.5,3.9,4.6,5.9,8.0,9.6,8.0,7.1,5.2,3.2,3.9,125,149,187,160,103,135,164,145,155,157,231,254,278,251,217,187,132,162,3.9,4.7,5.9,5.0,3.2,4.2,5.1,4.5,4.9,4.9,7.2,8.0,8.7,7.9,6.8,5.9,4.1,5.1,289,327,408,342,248,285,320,293,283,311,428,520,597,516,453,361,238,291,4.4,5.0,6.3,5.3,3.8,4.4,4.9,4.5,4.3,4.8,6.6,8.0,9.2,7.9,7.0,5.5,3.7,4.5,57,2.06,83,6.6,359,460,-101,4,7,-3,111,1.7,0.9,2.6,0.5,0.2,0.8,0.2,0.9,0.5,0.3,436,6.7,0.5,52.1,0.5,0.5,0.1,0.5,36.8,9.2,"5,885",211,452,89.8,3.2,6.9,193,2.9,6,181,0.1,3.3,
